District,Confirmed,Active,Recovered,Deceased
Kamrup Metro,20663,6008,14599,53
Dibrugarh,3927,1501,2409,17
Nagaon,3895,1385,2506,4
Tinsukia,3366,1551,1798,17
Jorhat,3338,1576,1752,10
Cachar,3302,1794,1498,10
Kamrup,2902,820,2074,8
Golaghat,2387,729,1656,2
Sonitpur,2351,621,1727,3
Darrang,1967,232,1730,5
Dhubri,1723,507,1215,1
Hailakandi,1387,269,1116,2
Hojai,1345,184,1160,1
Lakhimpur,1266,131,1135,-
Barpeta,1121,96,1024,1
Bongaigaon,1113,279,834,-
Karimganj,1025,62,955,8
Nalbari,948,117,828,3
Udalguri,758,91,666,1
Goalpara,658,90,568,-
Morigaon,638,79,557,2
Karbi Anglong,632,76,552,4
Sivasagar,529,54,473,2
Dhemaji,502,61,440,1
Baksa,487,39,447,1
Biswanath,467,70,379,-
Kokrajhar,408,51,353,4
Chirang,280,61,219,-
Dima Hasao,237,38,199,-
Majuli,165,85,80,-
Charaideo,113,7,105,1
South Salmara Mankachar,51,4,47,-
West Karbi Anglong,39,2,37,-
Bajali,-,-,-,-
