Player,Runs,Wickets
Player 1,5568,217
Player 2,14062,348
Player 3,12997,28
Player 4,12670,192
Player 5,5931,209
Player 6,9016,267
Player 7,4235,150
Player 8,11897,160
Player 9,10803,97
Player 10,1874,47
Player 11,5803,219
Player 12,8532,100
Player 13,3682,279
Player 14,14108,116
Player 15,960,27
Player 16,14125,2
Player 17,13476,76
Player 18,7150,133
Player 19,6749,96
Player 20,2618,295
Player 21,6891,319
Player 22,6231,300
Player 23,11114,201
Player 24,11877,9
Player 25,4572,281
Player 26,11874,310
Player 27,12027,8
Player 28,11595,152
Player 29,12554,43
Player 30,11644,15
Player 31,3868,138
Player 32,4970,62
Player 33,13738,163
Player 34,2274,324
Player 35,8261,31
Player 36,10645,235
Player 37,11341,368
Player 38,14234,11
Player 39,6757,19
Player 40,1204,54
Player 41,5106,346
Player 42,1052,207
Player 43,13947,189
Player 44,2918,159
Player 45,599,24
Player 46,12607,135
Player 47,5945,183
Player 48,1995,351
Player 49,12645,49
Player 50,14925,228
Player 51,8306,70
Player 52,8390,215
Player 53,1943,30
Player 54,7760,226
Player 55,12137,197
Player 56,5958,193
Player 57,2505,380
Player 58,11248,282
Player 59,2756,382
Player 60,722,328
Player 61,12824,23
Player 62,9934,291
Player 63,9092,62
Player 64,14532,277
Player 65,5996,262
Player 66,1732,370
Player 67,6172,163
Player 68,5116,99
Player 69,12177,2
Player 70,6086,78
Player 71,6394,384
Player 72,2716,328
Player 73,10591,141
Player 74,8950,66
Player 75,7331,57
Player 76,8376,192
Player 77,7361,35
Player 78,6151,201
Player 79,2662,181
Player 80,8731,48
Player 81,6606,3
Player 82,2276,314
Player 83,13297,362
Player 84,9838,319
Player 85,2383,231
Player 86,11801,152
Player 87,10273,337
Player 88,4640,15
Player 89,3290,157
Player 90,12488,15
Player 91,1366,56
Player 92,8189,188
Player 93,9984,227
Player 94,3304,207
Player 95,2752,95
Player 96,7793,44
Player 97,6577,107
Player 98,2983,131
Player 99,9858,91
Player 100,8606,245
