Player,Runs,Wickets
Waqar Younis,2303,26
David Warner,9032,345
Ishant Sharma,1069,232
Glenn Maxwell,11224,66
Rishabh Pant,10055,17
Babar Azam,8603,245
Nathan Lyon,2602,256
Virat Kohli,6095,330
Shoaib Akhtar,5416,276
Lungi Ngidi,3933,153
Jacques Kallis,4416,395
Misbah-ul-Haq,12660,98
Steve Smith,7965,193
Prithvi Shaw,12763,161
Ruturaj Gaikwad,2648,229
KL Rahul,12610,304
Andre Russell,12681,241
Yuvraj Singh,12097,18
Gautam Gambhir,3687,259
Ben Stokes,2248,309
Shaun Pollock,3105,337
Quinton de Kock,4402,243
David Miller,691,335
Chris Woakes,1108,189
Dinesh Karthik,8352,73
Mujeeb Ur Rahman,9090,209
Mohammad Nabi,14850,368
Ricky Ponting,5972,124
Inzamam-ul-Haq,13994,251
Marcus Stoinis,11177,191
Suryakumar Yadav,7904,170
Adam Gilchrist,10665,351
Tom Curran,1950,261
Rohit Sharma,5406,106
Jason Roy,3442,133
Brian Lara,7539,385
Navdeep Saini,11784,244
VVS Laxman,7112,1
Manish Pandey,2413,322
Zaheer Khan,2707,398
Washington Sundar,7413,382
Kevin Pietersen,3113,397
Glenn McGrath,1493,358
Chaminda Vaas,9820,219
Brett Lee,6337,138
Imran Tahir,13898,281
Trent Boult,7555,288
Joe Root,8637,313
Shane Watson,6472,372
Harbhajan Singh,14818,209
Tabraiz Shamsi,3788,233
Sam Curran,4766,36
Mark Wood,5188,185
Faf du Plessis,8084,52
Bhuvneshwar Kumar,11169,1
Alastair Cook,9138,378
Yuzvendra Chahal,7446,144
Kagiso Rabada,3882,387
Mitchell Starc,8411,290
Matthew Hayden,12467,135
Mohammed Shami,13902,326
Sourav Ganguly,14841,366
Jonny Bairstow,9609,337
Ravindra Jadeja,13914,83
Sachin Tendulkar,6353,282
Aravinda de Silva,11682,206
Andrew Flintoff,4534,78
Lockie Ferguson,13432,262
Devdutt Padikkal,8562,1
