X ,Y
39,59
7,67
77,41
93,8
90,78
99,95
30,79
34,9
29,12
8,35
42,1
94,33
87,73
82,6
10,86
83,21
24,80
8,51
36,20
47,63
100,91
78,78
29,98
53,50
77,25
82,15
77,53
69,74
5,94
39,59
19,46
41,29
7,64
14,30
41,87
3,87
46,75
47,43
37,37
45,42
99,16
14,8
72,36
42,91
16,3
41,52
86,48
10,78
75,21
80,97
30,49
47,53
74,20
15,48
69,38
44,12
15,44
30,97
25,84
84,93
40,39
23,43
3,18
99,67
54,27
49,81
28,60
51,55
62,31
56,16
57,51
31,76
37,92
93,67
9,57
73,34
28,69
58,75
15,21
97,54
37,76
73,63
16,92
34,98
90,40
4,9
49,83
76,84
45,92
39,5
91,9
59,12
48,59
80,27
70,43
47,83
18,51
78,70
44,91
89,3
