X ,Y
65,20
34,93
88,65
50,99
18,62
0,29
84,15
44,63
96,38
30,64
69,66
24,85
88,87
44,88
99,39
94,34
58,12
65,58
77,37
14,49
88,69
60,7
60,60
28,4
82,56
24,84
96,92
8,70
36,28
5,63
91,33
68,65
63,3
13,12
77,29
97,57
40,69
70,71
1,77
55,72
78,40
86,30
13,73
64,78
94,49
28,6
75,69
30,65
56,82
33,95
61,38
33,55
32,100
91,84
98,2
17,19
75,40
32,74
56,13
75,69
63,99
84,80
51,13
37,43
98,8
58,64
22,25
55,0
25,92
78,22
20,43
44,49
86,55
34,93
99,60
47,84
86,45
14,55
38,34
80,68
32,64
99,82
36,40
27,88
15,66
88,44
11,49
19,87
56,0
69,1
79,65
51,28
28,26
8,49
92,81
75,26
88,9
0,6
99,85
93,23
